filename	altitude	azimuth	thin_sky_cover	opaque_sky_cover	fractional_sky_cover	fractional_sky_cover_hybrid	thin_sky_cover_TSI	opaque_sky_cover_TSI	fractional_sky_cover_TSI	energy	entropy	contrast	homogeneity	outside_c	outside_s	horizon_c	horizon_s	inner_c	inner_s	sun_c	sun_s
2018020108540	10.694549772416794	136.57377370729412	0.3251988393211281	0.004258605932822579	0.32945744525395065	0.9989769927763164	0.10096088473915606	0.23557539772469746	0.33653628246385353	12727320	191682.27882677512	38317004	9833.749940637263	11068	12233	2765	3980	1605	15557	366	329
2018020112580	19.611941606544633	196.28393138534025	0.13616122760437355	0.38619781322517927	0.5223590408295529	0.4930183295867197	0.11759754294164486	0.3690592651575475	0.4866568080991924	6085154	154871.57501823147	35302172	10486.755781375054	10527	12796	3367	2547	9858	7285	1236	217
2018020113580	15.928209036009482	210.84256075521643	0.13786042624320935	0.32070622649394065	0.45856665273715	0.38811705586757317	0.08959835221421215	0.3314338024945646	0.42103215470877675	6128580	157610.13329598837	34178186	11807.014270672222	9754	13552	2704	3541	8335	8820	1154	0
2018050207170	27.34564079684621	100.15054554178103	0.046339474289538066	0.04771962108697016	0.09405909537650822	0.21841721058055652	0.03792469530877647	0.03719842945008057	0.07512312475885705	15495582	192901.2500251269	59975671	15458.603278984117	249	23059	2346	3129	0	16993	1903	142
