filename	altitude	azimuth	thin_sky_cover	opaque_sky_cover	fractional_sky_cover	fractional_sky_cover_hybrid	thin_sky_cover_TSI	opaque_sky_cover_TSI	fractional_sky_cover_TSI	energy	entropy	contrast	homogeneity	outside_c	outside_s	horizon_c	horizon_s	inner_c	inner_s	sun_c	sun_s
2017082708180	31.228014396222537	116.56338314546498	0.0	0.15018522006655366	0.15018522006655366	0.15537556769427177	0.06188208616780046	0.06108843537414966	0.12297052154195012	79117896	184407.02874511975	14750634	57986.554178057784	1090	22204	3783	1757	178	16609	2125	35
2017082708190	31.365463452747743	116.80255492258966	0.0	0.15117810624908531	0.15117810624908531	0.15176350065856872	0.05930163919538664	0.06123143985832993	0.12053307905371657	78515206	183862.4579982515	14751491	57616.6720381172	1061	22231	3832	1733	174	16604	2164	32
2017082708200	31.502621983969266	117.0423052454074	0.0	0.1470803453827016	0.1470803453827016	0.14561685935899313	0.06034208974184475	0.05771063018919287	0.11805271993103761	86545910	184089.41369352737	14900349	57672.17151612793	916	22376	3795	1759	219	16574	2105	87
2017082708210	31.63948687646869	117.28263817732697	0.0	0.14541920110365586	0.14541920110365586	0.14596266800443133	0.05779926899589094	0.05489341415242117	0.1126926831483121	82339160	184480.39571645614	15022492	57741.29599473622	950	22338	3773	1810	170	16601	2065	134
2017082708220	31.77605499946669	117.52355777808897	0.0	0.1419702765410422	0.1419702765410422	0.14711230952530258	0.05460928652321631	0.0562400906002265	0.11084937712344281	81664496	183949.72998049523	15075916	57771.14118333746	908	22394	3705	1864	110	16661	2069	130
2017082708230	31.9123232047665	117.76506810330774	0.0	0.14161179052994669	0.14161179052994669	0.14754886589317445	0.0541429446322045	0.057227754213260144	0.11137069884546465	79557514	183707.21127720832	15073878	57494.855601801515	845	22455	3735	1836	106	16665	2089	104
2017082708240	32.048288326671326	118.0071732039176	0.0	0.1421971359882931	0.1421971359882931	0.14485209574579283	0.054273223548599	0.06016263845787936	0.11443586200647836	87920764	185021.84581070548	15249589	58039.673278219714	797	22502	3772	1827	131	16611	2102	93
2017082708250	32.183947181878814	118.24987712564636	0.0	0.14239075841285787	0.14239075841285787	0.14234890339862716	0.05637854489444596	0.058077376098577514	0.11445592099302347	88671292	184943.84066173842	15755091	58064.78324835263	873	22426	3729	1856	135	16610	2067	88
2017082708260	32.31929656943	118.49318390846186	0.0	0.14249890289010092	0.14249890289010092	0.14320941215806743	0.056265289480837186	0.05658240463894174	0.11284769411977894	87093316	184304.6410590405	15590719	57419.576678781086	820	22470	3797	1825	114	16632	2089	106
2017082708270	32.4543332706443	118.73709758602664	0.0	0.13984522066513283	0.13984522066513283	0.13997071742313325	0.05762435444414243	0.05418138987043581	0.11180574431457824	90886756	184545.5842429435	16065138	57617.15002430407	848	22453	3677	1933	97	16640	2064	98
2017082708280	32.58905404902312	118.98162218512984	0.0	0.1373094958968347	0.1373094958968347	0.13992631050075363	0.05332879664284904	0.05237609164114778	0.10570488828399682	90787550	185523.76718264783	16038461	58348.40943051017	839	22462	3596	2014	95	16608	2029	125
2017082708290	32.72345565018626	119.22676172505905	0.0	0.13707804030722223	0.13707804030722223	0.14021723206998304	0.05457762453497868	0.051469921059794935	0.10604754559477361	99028300	185845.0732511135	16120993	57914.11085859551	834	22431	3582	2076	131	16563	2003	163
2017082708300	32.85753480183411	119.47252021705015	0.0	0.13651962835858375	0.13651962835858375	0.14080940821963672	0.05283087318323017	0.05330703126771422	0.10613790445094438	98221924	185230.28644207874	16149802	57786.72316254841	819	22480	3592	2032	88	16607	2025	145
2017082708310	32.99128821363579	119.7189016636362	0.0	0.1362428048142334	0.1362428048142334	0.14285714285714285	0.05597209323396833	0.051645638435227764	0.1076177316691961	101634510	186019.9900958574	16348822	58016.15608404119	780	22531	3628	2014	96	16567	2005	154
2017082708320	33.12471257721308	119.96591005804943	0.0	0.1347985347985348	0.1347985347985348	0.1392778649921507	0.055700156168662154	0.05228255211280357	0.10798270828146572	98680694	185699.9485964978	16059108	58066.45825866672	744	22567	3580	2062	116	16547	2000	159
2017082708330	33.25780456607162	120.21354938355854	0.0	0.13612488752171092	0.13612488752171092	0.14083328101785003	0.055336595089245266	0.05091963395850321	0.10625622904774848	97339500	186039.9378039437	15707116	58389.76997486215	768	22541	3606	2021	137	16560	1994	160
2017082708340	33.39056083552091	120.4618236128176	0.0	0.13344633477724066	0.13344633477724066	0.13378115387029946	0.05481746373039404	0.05167145734784872	0.10648892107824276	94866192	185325.5970745366	15909143	58127.57509856857	719	22547	3549	2149	117	16553	1992	161
2017082708350	33.52297802264825	120.71073670719043	0.0	0.13543060200668897	0.13543060200668897	0.14395903010033445	0.05611054479556009	0.05108166270245781	0.10719220749801789	94928108	185540.34731936877	15768745	58238.41291240767	709	22591	3547	2119	154	16525	2069	126
2017082708360	33.65505274627868	120.96029261608105	0.0	0.13653745690105526	0.13653745690105526	0.14742451154529307	0.05737834839118719	0.052170368860811084	0.10954871725199827	94805518	185540.27817105802	15716021	58301.229210148034	728	22584	3621	2064	133	16519	2052	154
2017082708370	33.78678160690335	121.21049527623778	0.0	0.138000919309682	0.138000919309682	0.13835610714136476	0.056655166152169964	0.053341202106410024	0.10999636825857999	95338252	185157.52671577435	15618703	57949.53463607496	709	22603	3675	2011	150	16503	2072	139
2017082708380	33.918161186645584	121.46134861099964	0.0	0.13951444118878192	0.13951444118878192	0.1424445374633738	0.05690817090603798	0.055319824828118265	0.11222799573415625	96873852	185440.7616573042	15563909	57990.840131376215	786	22523	3751	1916	143	16513	1989	159
2017082708390	34.04918804924676	121.71285652961913	0.0	0.1412460057225204	0.1412460057225204	0.13944988617614504	0.05528071529070031	0.05804928970181092	0.11333000499251122	98119138	185339.4416265602	15500184	57911.90074338959	754	22520	3779	1956	150	16511	2080	131
2017082708400	34.17985873999268	121.96502292646782	0.0	0.14319209512644449	0.14319209512644449	0.14733712945905209	0.05705351882902071	0.05603389676893098	0.11308741559795168	96605814	185791.08693475823	15593712	58345.40076634934	778	22535	3860	1832	153	16461	2049	100
2017082708410	34.310169785708915	122.2178516803318	0.0	0.1414545302294423	0.1414545302294423	0.14394573773237312	0.058414338476876715	0.055015521265266355	0.11342985974214306	96514414	185737.52023195472	15309479	58153.15532981034	727	22592	3831	1885	141	16444	2058	90
