filename,azimuth,altitude,energy,entropy,contrast,homogeneity,cloud_cover
m180501064215122,93.21338794291573,21.813489774905097,,,,,0.9311258319238939
m180501071216370,99.34958208193099,26.404703661399942,,,,,0.9999149082893065
m180501074217867,105.80947937628068,30.91514031567563,,,,,0.9972446467390702
m180501081218971,112.71291549495264,35.279573138705835,,,,,0.9941885561577904
m180501084219943,120.1939533909759,39.420303606039774,,,,,0.9919144562501745
m180501091221213,128.3991552635606,43.24496023934221,,,,,0.98876131569954
m180501094222630,137.4510000649034,46.63504608670259,,,,,0.9958729038765984
m180501101223629,147.43903157502317,49.459257591516575,,,,,0.9998231625973382
m180501104225067,158.35271764221974,51.5741163849843,,,,,0.9994730581594883
m180501111226188,170.00283470572708,52.842120513829656,,,,,0.9428001482038264
m180501114227380,182.04042840084927,53.169563197734654,,,,,0.8531166212413304
m180501121228699,193.9997481280831,52.53003892536802,,,,,0.8994422943072347
m180501124229892,205.43860744056195,50.974879983436985,,,,,0.9666556433480626
m180501131230962,216.05758450545082,48.61605366300557,,,,,0.9917429012712368
m180501134232210,225.74212338999024,45.593015351452514,,,,,0.8126691488838224
m180501141233657,234.50495556679311,42.05177400266518,,,,,0.9667587448812803
m180501144234646,242.45737213819564,38.11856517288373,,,,,0.9922372414649341
m180501151235843,249.73720632164867,33.90100873776548,,,,,0.9877706299114482
m180501154237311,256.48857510863945,29.48521289217678,,,,,0.9444083106696185
m180501161238359,262.83379352682465,24.949340613431964,,,,,0.9272934673665595
m180501164239576,268.89157026397896,20.353156056768643,,,,,0.9481709129069086
m180501171240755,274.76236374241506,15.752104990321689,,,,,0.6910885243023925
m180501174242115,280.53739796868757,11.195184629875834,,,,,0.46672493821206823
m180502061955601,88.61600127295848,18.627783678079016,,,,,0.03659026833158925
m180502064956838,94.5753891351188,23.24234827379884,,,,,0.05076366228122665
m180502071958144,100.78371690195857,27.823139291620244,,,,,0.02121774692842135
m180502074959287,107.34351937329802,32.306449849607226,,,,,0.02054679477889915
m180502082000359,114.3830470111825,36.62688600909879,,,,,0.6059956746408091
m180502085001623,122.04109608973582,40.70278090573639,,,,,0.5122481511994658
m180502092002793,130.46170846836438,44.43456062670499,,,,,0.19636254533190511
m180502095003993,139.7719529863871,47.702082144504075,,,,,0.20806545827797077
m180502102005221,150.04577327175852,50.36788448699254,,,,,0.20127401860145167
m180502105006429,161.219826150116,52.28273826608937,,,,,0.19321379953553544
m180502112007676,173.07275885083772,53.31851937824888,,,,,0.20486782506469775
m180502115008825,185.20362560926557,53.39435155350895,,,,,0.3969094171143122
m180502122010136,197.13546065527927,52.50340801779414,,,,,0.42468869275337906
m180502125011228,208.43319459912732,50.717583342308025,,,,,0.3156930812436174
m180502132012472,218.84807195123787,48.16130308316071,,,,,0.16595702219847133
m180502135013740,228.30429127220208,44.98025176025399,,,,,0.4043588174246255
m180502142014878,236.85571543381474,41.31545911957029,,,,,0.45257429619672834
m180502145016114,244.62778769037226,37.287983433958914,,,,,0.1897038122452056
m180502152017233,251.75525401382063,33.005045013010715,,,,,0.21575153113775297
m180502155018442,258.38305101834754,28.548734192812795,,,,,0.1807084210624321
