azimuth	correctedSkyCover	smoothCorrectedSkyCover
135.27139222736707	0.33120530522356667	0.33120530522356667
135.48773500300214	0.3346819092866157	0.3346819092866157
135.7043651578846	0.3671826625386997	0.3671826625386997
135.92128341373984	0.19393188854489163	0.19393188854489163
136.1384904725556	0.14709597523219814	0.14709597523219814
136.35598701639697	0.15897239453327733	0.17858448920355627
136.57377370729412	0.2663267573640157	0.24970592218904214
136.79185118701483	0.4551372316509795	0.43881813362569067
137.01022007694797	0.7028176966678419	0.6865807529661894
137.22888097791574	0.8815070048289131	0.872550457652256
137.4478344699956	0.9424285339144822	0.9384778511541165
137.66708111236557	0.9530682662193799	0.952801385226489
137.886621443149	0.9804252901336691	0.9801116795551815
138.10645597923784	0.9950316442610178	0.9947313676099188
138.3265852161039	0.9975567559393642	0.9974899929570591
138.54700962767828	0.9979329210048516	0.9978170712697401
138.76772966613447	0.9975999427120787	0.9975747349580366
138.98874576176627	0.9984638103371397	0.9984764814761848
139.21005832280252	0.9982575467431696	0.998316423879871
139.43166773522972	0.9976974492959991	0.9976890654113743
139.6535743626383	0.9979141884981224	0.9980122901207156
139.87577854607568	0.9968472561414389	0.9967659036307563
140.09828060386008	0.9969769061415754	0.9969288253077678
140.32108083140633	0.9967973286890475	0.9968229163648352
140.5441795011079	0.9950805258032314	0.9951030647147346
140.76757686211454	0.9952812962014472	0.9952945598279517
140.99127314022527	0.9966369549929746	0.996734890973678
141.21526853770828	0.9963195401280461	0.9963729903968841
141.43956323311895	0.9956103597555449	0.9955487094763872
141.66415738115717	0.9973883192578562	0.9973933840050548
141.88905111255477	0.9977899581791152	0.9977968241826202
142.11424453383202	0.9975414266962953	0.9975734947942877
142.3397377271968	0.9978629437967843	0.9978723235288969
142.56553075040267	0.9981224897115664	0.9982192499064328
142.7916236365418	0.9980520273960549	0.9979579654728485
143.01801639394827	0.9981182211570816	0.9981040597750603
143.2447090060262	0.9981135536671755	0.9981364429318613
143.4717014310845	0.998129557260883	0.9981358538747982
143.69899360219475	0.9980669880365824	0.9981051013142197
143.92658542710066	0.9980317933865144	0.9980355816925024
144.15447678798628	0.9977177524036196	0.9978493642662191
144.3826675413793	0.9979313477794423	0.9979293007178354
144.61115751802623	0.9976299475267344	0.9976586390642267
144.8399465227323	0.9976752808451392	0.9976796579278229
145.06903433420416	0.9972510887229993	0.9972696797774632
145.29842070497074	0.9967173456228827	0.9966378411974736
145.52810536119546	0.9967404821465651	0.996778214664648
145.75808800255953	0.9970304545161047	0.9971041299239799
145.988368302188	0.9965888978633216	0.9965539072435033
146.21894590643714	0.99582334053035	0.9957259190282788
146.449820434816	0.9957576167425668	0.9957080059686533
146.6809914798812	0.9930204421101871	0.9928680890637935
146.91245860709643	0.9884611768660907	0.9883208069519321
147.1442213547005	0.9887974935055386	0.9885163196604132
147.3762792336398	0.9639775512204686	0.9637474259405425
147.60863172740525	0.9412373755221356	0.9411127482157695
147.84127829197195	0.910607274751846	0.9105400104294183
148.0742183556725	0.8734748469884552	0.8737456174879503
148.3074513190843	0.8180288205676438	0.8187153592663162
148.54097655494317	0.8205476255576547	0.8208645768875231
148.7747934080608	0.817761786695891	0.8176977031431883
149.00890119522057	0.8316274973250036	0.8308310107203795
149.24329920506776	0.756948427575949	0.7569984933822044
149.4779866980702	0.6969178311886023	0.6977682986553596
149.71296290638384	0.5910372458821783	0.5921754935614553
149.94822703381914	0.6147500432879016	0.616266046053442
150.18377825575078	0.5993986339338745	0.6000806771609988
150.4196157190238	0.5582805385072263	0.5593093699740228
150.65573854190768	0.6564415971483856	0.6567967583850217
150.89214581404494	0.7104348624809522	0.7110305219907479
151.12883659637154	0.7502754477295669	0.75066778187919
151.36580992104706	0.8867390690672236	0.8854302646006019
151.6030647914496	0.9148275494080239	0.9138847542808272
151.84060018206773	0.9470796898084075	0.9458134274122525
152.07841503851074	0.9552930124222344	0.9545479258878825
152.3165082774486	0.9647913601335181	0.9644278386262959
152.5548787865562	0.9793948692227047	0.9790913732315615
152.79352542449638	0.9878564508621615	0.9876792061435848
153.03244702094156	0.9913567650655414	0.9912255587220901
153.2716423764626	0.9932364664654568	0.9930469365984423
153.51111026256618	0.9948188999385504	0.9947712709740111
153.75084942169553	0.995209345467218	0.9952354589506185
153.9908585671712	0.9957049591685576	0.9958051769173127
154.231136383235	0.9959575648713388	0.9958554476805284
154.47168152503843	0.9966040807535991	0.9966119178301598
154.71249261862798	0.9964083931349915	0.996307252233369
154.95356826096338	0.9969040913903952	0.9968993429809485
155.1949070199908	0.9969801551318498	0.9969472707904337
155.43650743457292	0.9968912790412705	0.9968767835427058
155.67836801456465	0.996899524669634	0.9969584792967681
155.92048724085922	0.9968313726781182	0.9969133355612217
156.16286356540502	0.996827465261688	0.9969060271549878
156.40549541122508	0.9968069199746616	0.9968879452832318
156.64838117252313	0.9966005313747405	0.9966663011366881
156.89151921467996	0.996869829229078	0.9968213588754302
157.1349078743252	0.9968552074993228	0.9968332262582676
157.3785454594591	0.9968717507723149	0.9968249699462355
157.6224302494289	0.9968172872384271	0.9968144712057164
157.8665604950585	0.9968090234784437	0.9967743566415117
158.11093441873342	0.9967212618914482	0.9967317971153143
158.3555502144758	0.9967735296032812	0.9967547339991444
158.60040604801446	0.9967224778564978	0.9967291691152534
158.8455000569311	0.996603707130345	0.9966632762435043
159.09083035070952	0.9966202944815018	0.9966982339491712
159.33639501089382	0.9965797028464177	0.9966346556763577
159.58219209118192	0.996352229811976	0.9964239549830125
159.82821961753373	0.996608218106343	0.9965601380006066
