filename,altitude,relative_altitude,azimuth,thin_sky_cover,opaque_sky_cover,cloud_cover_fixed,cloud_cover_hybrid_mce,cloud_cover_hybrid_otsu,cloud_cover_hybrid_kmeans,thin_cloud_cover_TSI,opaque_cloud_cover_TSI,cloud_cover_TSI,energy,entropy,contrast,homogeneity,outside_c,outside_s,horizon_c,horizon_s,inner_c,inner_s,sun_c,sun_s
2018020712280,22.410820677107996,0.9814704303541606,188.76944820351028,0.03212623453286412,0.0370984220683392,0.06922465660120332,0,0,0,0.022496701696920068,0.009644693144078977,0.032141394840999045,,,,,8,20480,1768,3157,3,17124,1361,144
2018020712290,22.387210646056346,0.980436441118746,189.0290960159936,0.031081848109887615,0.03850607333409013,0.06958792144397774,0,0,0,0.024394680004547004,0.010162555416619302,0.0345572354211663,,,,,9,20479,1728,3197,3,17124,1383,122
2018020712300,22.362911381672635,0.979372267262037,189.2886250039307,0.0310350307625945,0.03898108838286376,0.07001611914545826,0,0,0,0.025808796801163214,0.00888313340603417,0.03469193020719738,,,,,4,20502,1792,3121,4,17126,1378,120
2018020712310,22.337923704898056,0.9782779447367335,189.54803190173558,0.030532098429129212,0.03958957595568873,0.07012167438481795,0,0,0,0.025634033269702754,0.010089991818925552,0.035724025088628306,,,,,6,20456,1769,3188,4,17127,1381,121
2018020712320,22.312248458731474,0.9771535104615396,189.80731346124753,0.030328482894826453,0.03872783818755533,0.06905632108238179,0,0,0,0.02661458806431102,0.009787446634571715,0.036402034698882736,,,,,4,20484,1733,3205,1,17131,1357,136
2018020712330,22.28588650808802,0.975999002314971,190.0664664521347,0.03263879431658269,0.039152934767806076,0.07179172908438877,0,0,0,0.027610498806953754,0.009748892171344165,0.03735939097829792,,,,,11,20469,1810,3136,5,17131,1401,95
2018020712340,22.258838739668345,0.9748144591296297,190.32548766236687,0.034018700072621644,0.03930646332607117,0.07332516339869281,0,0,0,0.026336120705326305,0.011929649154699146,0.03826576986002545,,,,,15,20474,1864,3080,3,17140,1404,84
2018020712350,22.231106061856114,0.9735999206877132,190.5843738985755,0.031204611474219317,0.040395787944807554,0.07160039941902688,0,0,0,0.02742217876713886,0.011732872507333045,0.03915505127447191,,,,,26,20455,1801,3151,0,17143,1388,100
2018020712360,22.20268940456055,0.9723554277141208,190.8431219865153,0.032788001179914227,0.04061627827823285,0.07340427945814708,0,0,0,0.02723301633525959,0.010920507803612868,0.038153524138872456,,,,,31,20475,1854,3080,0,17145,1395,91
2018020712370,22.173589719084877,0.9710810218706901,191.10172877144572,0.03215266274874634,0.040888566177304804,0.07304122892605114,0,0,0,0.026920013653430424,0.009967004209807714,0.03688701786323814,,,,,23,20461,1854,3102,0,17145,1402,84
2018020712380,22.1438079780111,0.9697767457511532,191.3601911185201,0.030947029039802013,0.04050586926412824,0.07145289830393026,0,0,0,0.028586373146547803,0.010074592922769035,0.038660966069316835,,,,,27,20482,1850,3089,5,17128,1363,99
2018020712390,22.113345175038766,0.9684426428740733,191.61850591319129,0.032167990919409764,0.04158910329171396,0.07375709421112372,0,0,0,0.029290035020694046,0.010051394005548733,0.03934142902624278,,,,,32,20448,1932,3036,2,17138,1362,100
2018020712400,22.082202324842992,0.9670787576766284,191.87667006161655,0.031055618615209987,0.04072644721906924,0.07178206583427924,0,0,0,0.02720640043639339,0.011273495920176376,0.038479896356569766,,,,,34,20461,1829,3133,2,17139,1353,99
2018020712410,22.05038046294101,0.9656851355087659,192.1346804910244,0.03254874367296911,0.03990285312209184,0.07245159679506094,0,0,0,0.03174927842549033,0.008840708165723507,0.040589986591213836,,,,,22,20457,1844,3134,5,17140,1393,62
2018020712420,22.017880645549543,0.964261822626957,192.39253415007124,0.03258970110977464,0.040351315162381135,0.07294101627215577,0,0,0,0.03153491121569697,0.007843939703976536,0.03937885091967351,,,,,23,20475,1899,3069,3,17144,1360,90
2018020712430,21.984703949408793,0.9628088661864885,192.65022800925985,0.033747134784286134,0.03878537548510088,0.07253251026938701,0,0,0,0.02889687158966897,0.008798654056020372,0.03769552564568934,,,,,19,20479,1859,3109,2,17145,1386,64
2018020712440,21.950851471658055,0.9613263142360144,192.9077590612478,0.03218187186300561,0.0393586336899003,0.07154050555290592,0,0,0,0.024328687387735613,0.010072531320342875,0.03440121870807849,,,,,26,20449,1813,3188,3,17110,1370,72
2018020712450,21.91632432967489,0.9598142157105136,193.1651243212576,0.030819195566759782,0.03847289409734051,0.06929208966410029,0,0,0,0.02569583409132254,0.00911861015099145,0.03481444424231399,,,,,19,20474,1740,3243,4,17114,1343,94
2018020712460,21.881123660901082,0.9582726204236676,193.42232082740324,0.032970027247956404,0.038396911898274294,0.0713669391462307,0,0,0,0.02467254866290704,0.01034655266509005,0.03501910132799709,,,,,23,20478,1841,3143,5,17117,1362,71
2018020712470,21.845250622706004,0.9567015790618758,193.6793456410239,0.0318516164184526,0.03804940065383218,0.06990101707228477,0,0,0,0.02536108267940407,0.00989423404981235,0.03525531672921642,,,,,24,20447,1771,3242,3,17124,1344,93
2018020712480,21.808706392224988,0.9551011431771783,193.93619584703086,0.032191423187813574,0.03641399350723058,0.06860541669504416,0,0,0,0.02231431303793433,0.009244501115715651,0.031558814153649986,,,,,18,20478,1723,3235,3,17126,1344,122
2018020712490,21.77149216616826,0.9534713651788874,194.19286855428868,0.030096690725861363,0.03701938353987925,0.06711607426574061,0,0,0,0.023353116401755462,0.009095663642358505,0.032448780044113966,,,,,20,20449,1694,3291,1,17131,1324,148
2018020712500,21.73360916068879,0.9518122983278003,194.44936089585605,0.03186708429797085,0.03738254119569658,0.06924962549366744,0,0,0,0.02276345113021331,0.009209987720016374,0.031973438850229685,,,,,24,20490,1753,3198,5,17127,1341,120
2018020712510,21.695058611207678,0.9501239967285526,194.70567002935726,0.0307025506036126,0.036852137605518746,0.06755468820913135,0,0,0,0.02122287430053228,0.010645557526955098,0.03186843182748737,,,,,23,20447,1669,3326,4,17137,1348,114
2018020712520,21.655841772222704,0.9484065153212328,194.96179313730585,0.03170277512830994,0.036131171367579595,0.06783394649588953,0,0,0,0.019327080677472228,0.009561099981788381,0.02888818065926061,,,,,25,20444,1692,3315,3,17122,1338,95
2018020712530,21.61595991716722,0.9466599098752032,195.21772742736425,0.03324703638097833,0.0356996866058046,0.06894672298678294,0,0,0,0.018143738475197485,0.009743437976643067,0.02788717645184055,,,,,25,20461,1743,3247,3,17122,1338,95
2018020712540,21.575414338218128,0.9448842369806906,195.47347013269282,0.033626228912653544,0.036078377948822744,0.06970460686147628,0,0,0,0.021226737043272513,0.007894617099695135,0.029121354142967647,,,,,29,20442,1772,3244,6,17124,1340,86
2018020712550,21.534206346127245,0.9430795540414004,195.72901851222002,0.03255908998024658,0.03746338805258497,0.07002247803283154,0,0,0,0.0218846784478047,0.007970486427400255,0.029855164875204954,,,,,32,20439,1798,3218,3,17127,1346,80
2018020712560,21.492337270046665,0.9412459192668687,195.98436985091504,0.033459696274941546,0.03897577917508456,0.0724354754500261,0,0,0,0.023435898603867265,0.0077208645546268245,0.03115676315849409,,,,,27,20459,1880,3133,4,17136,1359,55
2018020712570,21.449808457349864,0.939383391664628,196.23952146007392,0.03209114429667287,0.039240161590486135,0.071331305887159,0,0,0,0.02241999362680384,0.008148586516137844,0.030568580142941684,,,,,33,20453,1826,3187,7,17136,1353,67
2018020712580,21.40662127344337,0.9374920310319588,196.49447067764353,0.03281739367255231,0.039989106259361806,0.07280649993191413,0,0,0,0.02597343522561863,0.005640465793304222,0.03161390101892285,,,,,32,20456,1900,3123,2,17141,1346,62
2018020712590,21.36277710159984,0.9355718979485796,196.7492148683987,0.033447548163107854,0.03937007874015748,0.07281762690326533,0,0,0,0.023122044379774463,0.00834394325209167,0.03146598763186613,,,,,27,20459,1893,3132,4,17142,1356,56
2018020713000,21.31827734276717,0.9336230537682875,197.0037514242521,0.03562352514067889,0.0400027228172082,0.07562624795788708,0,0,0,0.024958478374627443,0.008691101858803722,0.03364958023343116,,,,,27,20459,1996,3041,4,17143,1371,31
2018020713010,21.27312341538251,0.9316455606108114,197.2580777645141,0.03588766389909714,0.04144548795426705,0.07733315185336419,0,0,0,0.029166856258816036,0.007166583246120945,0.03633343950493698,,,,,27,20472,2081,2943,4,17148,1362,45
2018020713020,21.227316755188895,0.9296394813537836,197.5121913361223,0.03372417390515502,0.04254643594221305,0.07627060984736807,0,0,0,0.028570777608165683,0.009546376250256316,0.038117153858422,,,,,26,20462,2064,2984,10,17153,1358,36
2018020713030,21.18085881505257,0.9276048796247385,197.76608961385713,0.03417776064227882,0.042047490531376866,0.0762252511736557,0,0,0,0.030784666955510454,0.008437279091510272,0.03922194604702073,,,,,31,20454,2043,3008,7,17156,1368,26
2018020713040,21.13375106476526,0.9255418197924525,198.01977010062436,0.033486196876135126,0.04358881220486742,0.07707500908100254,0,0,0,0.031330521035229736,0.010375099760574621,0.04170562079580436,,,,,24,20450,2095,2980,4,17136,1321,38
2018020713050,21.08599499086391,0.9234503669590514,198.27323032762723,0.0344216481494104,0.043123622566060026,0.07754527071547043,0,0,0,0.031294873840402984,0.008296674492284549,0.039591548332687534,,,,,28,20474,2119,2887,3,17102,1348,52
2018020713060,21.037592096437265,0.9213305869515378,198.52646785459882,0.035620172648796,0.04311676510676965,0.07873693775556564,0,0,0,0.03000729660707771,0.010785297336738416,0.040792593943816124,,,,,24,20437,2156,2904,5,17108,1356,30
2018020713070,20.988543900924487,0.9191825463129728,198.77948027006215,0.03333938953488372,0.04433139534883721,0.07767078488372092,0,0,0,0.0283886536447662,0.011838091335427766,0.04022674498019396,,,,,23,20478,2121,2913,5,17110,1345,37
2018020713080,20.938851939938797,0.917006312294752,199.0322651914455,0.033566497093023256,0.044422238372093026,0.07798873546511628,0,0,0,0.030850143436091253,0.01197577523792177,0.042825918674013023,,,,,24,20445,2155,2910,3,17122,1333,40
2018020713090,20.88851776506579,0.9148019528477731,199.28482026533092,0.03342112433021524,0.044342021614748886,0.07776314594496413,0,0,0,0.025152647407272397,0.01298642121571129,0.03813906862298369,,,,,25,20443,2137,2943,6,17122,1333,35
2018020713100,20.837542943656544,0.9125695366133751,199.5371431676464,0.03596240294237842,0.04529355673613949,0.08125595967851791,0,0,0,0.03319823307072271,0.012113484220592923,0.04531171729131564,,,,,28,20457,2271,2792,6,17123,1355,14
2018020713110,20.785929058656222,0.9103091329158318,199.7892316038397,0.03316309159005788,0.046283055271819314,0.0794461468618772,0,0,0,0.03188775510204082,0.011798469387755101,0.04368622448979592,,,,,26,20446,2188,2903,5,17127,1337,23
2018020713120,20.733677708392495,0.908020811753086,200.04108330902594,0.03434343434343434,0.044489842242651234,0.07883327658608558,0,0,0,0.02904063411078717,0.013028425655976677,0.042069059766763846,,,,,28,20470,2210,2855,4,17128,1320,40
2018020713130,20.680790506367234,0.9057046437876272,200.29269604820732,0.0340852357826896,0.044319883810647664,0.07840511959333726,0,0,0,0.030879671832269827,0.009936189608021877,0.0408158614402917,,,,,30,20456,2183,2909,4,17134,1303,47
2018020713140,20.627269081089366,0.9033607003391709,200.54406761638734,0.03421130243426575,0.04476054356950022,0.07897184600376597,0,0,0,0.030709253813008687,0.007979390374575382,0.03868864418758407,,,,,33,20450,2205,2890,4,17147,1317,33
