azimuth,original_sky_cover,corrected_sky_cover,smooth_corrected_sky_cover
131.28241923716934,0.07055883689232167,0.002567014993184916,0.0025670149931849157
131.49729148356636,0.07114929987270413,0.00281869430805601,0.002818694308056008
131.71245367667524,0.07013441104350195,0.002270456815911361,0.0022704568159113564
131.9279069083515,0.06990736536191082,0.002179638543274907,0.002179638543274909
132.14365225266883,0.07129724208375894,0.0024514811031664963,0.0024514811031664946
132.3596907657527,0.13975810660555038,0.04359073271460664,0.06965316708928461
132.576023485553,0.067673949046031,0.0014292520247737017,0.0
132.79265143170701,0.0670098417161776,0.0014739897501020453,0.0
133.0095756053491,0.06739534672774275,0.0013379291577849336,0.0
133.22679698890707,0.06750873055467368,0.001224545330854007,0.0
133.4443165459243,0.06547632552124691,0.0010890033350727136,0.0
133.66213522093085,0.06559237403540627,0.0012482977757603268,0.0005211187412570706
133.88025393917238,0.06525741561541085,0.0012728719172633255,0.0002473706497357897
134.09867360646956,0.06503011705875668,0.0010228435049437436,0.0
134.31739510904714,0.06525741561541085,0.001000113649278327,1.901109549273805e-05
134.53641931332527,0.06694978765925556,0.0013399041627870007,0.0014495148313876383
134.75574706571157,0.06681352621897213,0.0011809324824563396,0.0008921151698988994
134.9753791924675,0.06708604909953898,0.0010446710421729158,0.0006391638716798237
135.1953164994653,0.0690391297436014,0.001203642722503577,0.002023998124106821
135.4155597720102,0.07006109054572707,0.0011582222424091023,0.002358911275943565
135.63610977470506,0.06982611660415956,0.0012274122059324924,0.0014090765230125174
135.85696725117296,0.0709853392430958,0.001386521195590408,0.001991287692935703
136.07813292391492,0.07084896010910331,0.0011819524946016593,0.0014507039262463134
136.29960749412416,0.07178498525742799,0.0009072352007257881,0.0021526399219128634
136.52139164148215,0.07253897751994198,0.0011330674401740391,0.002981770986130533
136.74348602394693,0.07244537129386164,0.001065373107262671,0.0031774395410956446
136.96589127760487,0.07058156671579185,0.0009069266523069947,0.0017360976171261755
137.18860801642796,0.06917583040471602,0.0007935608207686203,0.0009647504216718367
137.41163683212554,0.06776469520633409,0.0006805962022731914,0.00012443913431775533
137.63497829393233,0.06669087113390365,0.000680750641040187,0.0
137.8586329484028,0.06510044262853251,0.0007263647713085915,0.0
138.0826013192322,0.06384524566342749,0.0005903187721369539,0.0
138.30688390707488,0.0645263827082009,0.0005676142039778403,0.0
138.53148118934143,0.06452125726744186,0.0007494549418604651,0.0003841878772067875
138.75639361998478,0.06511575124829777,0.0007035860190649115,0.00146435457199115
138.98162162935827,0.06433598183881953,0.0006356413166855846,0.0009705492637921559
139.20716562396342,0.06213393870601589,0.000681044267877412,0.0
139.43302598631232,0.06423705722070845,0.000885558583106267,0.0013081243931771513
139.65920307471777,0.0628862231915667,0.0006588513267902581,0.00027757394797554846
139.885697223081,0.06369585965550152,0.0005453801754306231,0.0013638416177431598
140.11250874071823,0.06321172860552335,0.0005909762473008297,0.0013783134285696164
140.33963791221638,0.061234231162632116,0.0005909762473008297,0.0
140.56708499715918,0.06141385725305141,0.000657924588229956,0.0003153446686485206
140.79485022999333,0.06157266663641726,0.0005671763691637552,0.0009576487073703482
141.0229338198555,0.060106069534472596,0.0006799329132858891,0.0
141.25133595033213,0.060640420899854865,0.000703011611030479,0.0011851433904080597
141.48005677933054,0.05859268668904818,0.0007258869431086109,0.0
141.70909643887484,0.059197240941165796,0.0006806888571234089,0.0
141.93845503490198,0.0578690570747759,0.000658118688301373,0.0
142.16813264709705,0.05727322255516208,0.0007037137927903387,0.0
142.39812932875822,0.06079179151911378,0.0007718151275765005,0.0017855410198941435
142.62844510653485,0.06231548349003043,0.0006358722805105146,0.00329720656654503
142.85907998029768,0.06083935141027388,0.0007494209020302493,0.0015887206866532846
143.09003392298393,0.058341281736839716,0.0007267111777263024,0.0
143.32130688036983,0.06132921595785745,0.0007720079017279354,0.0016244559523761887
143.55289877094512,0.060829681433209964,0.0007720079017279354,0.0007981523756163539
143.7848094857307,0.06087173779726077,0.000681400049969337,0.000944107381497715
144.01703888809016,0.06063704107597238,0.0007042893493275173,0.001039065411893518
144.24958681356887,0.0610389315919552,0.0007029000294764529,0.0016852137253020108
144.4824530697859,0.06047207672947418,0.0006348774459787316,0.0009457849092206413
144.71563743618293,0.05957079987296402,0.000589809899732317,0.00013366881839511902
144.94913966391124,0.058995711465589615,0.0006126477729118922,0.0
145.18295947568893,0.058373618392682874,0.0007262658586958989,0.0
145.41709656562531,0.05997593698213435,0.0006356268870173208,0.00041969048907773004
145.65155059904615,0.06036888314163207,0.0007032827423489644,0.000652132037788973
145.88632121240005,0.06084530048322331,0.0006805962022731914,0.000939205487607099
146.1214080130543,0.06151297876202578,0.0006126338718460701,0.0013023936199671182
146.35681057916773,0.060919696763357394,0.0006128285441917473,0.0002620671512325312
146.59252845959568,0.06250851150755822,0.0005674338372145808,0.001292198003618364
146.82856117366904,0.06234385646150352,0.0006132182602770839,0.0010252103307117205
147.06490821110623,0.06266182148535089,0.0006359300476947536,0.001214280849032856
147.30156903188507,0.06351225495763578,0.0006587465642959362,0.0017490001117053122
147.53854306610174,0.06384767444502511,0.0006134829928881417,0.0018013370545089044
147.77582971382236,0.06102272727272727,0.0006590909090909091,0.0
148.01342834500628,0.0615,0.0005454545454545455,0.0
148.25133829933353,0.06388863698195339,0.0005667906048789336,0.0008495752851117588
148.48955888613474,0.06436734601140572,0.0006361756753686411,0.000884628847483318
148.72808938425788,0.0648446359718757,0.0008165116806532094,0.0008743793662940313
148.966929041946,0.06502608301202087,0.0005443411204354728,0.0005211297741273685
