filename	altitude	azimuth	thin_sky_cover	opaque_sky_cover	fractional_sky_cover	fractional_sky_cover_hybrid	thin_sky_cover_TSI	opaque_sky_cover_TSI	fractional_sky_cover_TSI	energy	entropy	contrast	homogeneity	outside_c	outside_s	horizon_c	horizon_s	inner_c	inner_s	sun_c	sun_s
2018020108480	10.050678618080672	135.27139222736707	0.0	0.3723353067927449	0.3723353067927449	0.9986191601983389	0.13290220104379397	0.16541865214431586	0.29832085318810986	14064294	181392.41709967624	6954140	59046.073398866894	8643	14659	5683	1098	2971	14140	511	96
2018020108490	10.159034434715721	135.48773500300214	0.0	0.37346499027217006	0.37346499027217006	0.99918410041841	0.12033721615374156	0.16892535013370802	0.28926256628744956	12982436	179511.76142746475	7125036	58413.66875227686	8605	14697	5772	982	2937	14174	574	60
2018020108500	10.266975460585915	135.7043651578846	0.0	0.40242447082469696	0.40242447082469696	0.99928810720268	0.18422245388206498	0.1920183111997462	0.37624076508181115	13317600	180379.58034390875	6899489	58994.835076442476	9166	14136	4855	1882	4660	12427	546	91
2018020108510	10.374499602625898	135.92128341373984	0.0	0.31193601741934135	0.31193601741934135	0.9993718592964824	0.10950310277664538	0.20070661774697648	0.31020972052362183	13404056	181139.05005817366	6651978	59572.182316424776	8071	15231	4025	2685	2313	14774	512	152
2018020108520	10.481604766228005	136.1384904725556	0.0	0.2511776898436028	0.2511776898436028	0.9997487595000314	0.07883591892197939	0.2038727210961386	0.282708640018118	12710814	180842.44289605718	6335563	59464.83542703037	8197	15102	2844	3897	688	16399	284	352
2018020108530	10.588288855312985	136.35598701639697	0.0	0.2532907107935314	0.2532907107935314	0.9990806519013791	0.07217919101327173	0.21062644381030032	0.28280563482357207	13333892	182202.64164863678	6260009	59557.3828804902	9193	14106	2163	4582	575	16554	207	482
2018020108540	10.694549772416794	136.57377370729412	0.0	0.3294574452539507	0.3294574452539507	0.9989769927763164	0.10096088473915606	0.23557539772469746	0.33653628246385353	12998090	181278.5929115541	6820514	59430.87558020574	11068	12233	2765	3980	1605	15557	366	329
2018020108550	10.800385418767043	136.79185118701483	0.0	0.4975354024813067	0.4975354024813067	0.999248073187543	0.24299044254201205	0.23823436155274721	0.48122480409475926	12127872	179153.2331766542	6816330	58413.8012358627	15833	7430	3624	3127	3979	13171	415	299
2018020108560	10.905793694379947	137.01022007694797	0.0	0.7254271272818413	0.7254271272818413	0.9994986735738307	0.3773456467972136	0.29763336434389964	0.6749790111411132	11917238	179012.01606295593	6710494	58672.775832212865	19858	3438	4800	1918	9613	7537	489	225
2018020108570	11.010772498138895	137.22888097791574	0.0	0.8872968795689044	0.8872968795689044	0.9996658103055747	0.466281179138322	0.3223809523809524	0.7886621315192743	12979302	181001.96305534343	6581716	59464.15111538654	22184	1113	6065	654	13686	3464	551	161
2018020108580	11.11531972787598	137.4478344699956	0.0	0.943493615865254	0.943493615865254	0.9999582027168235	0.45711823665472356	0.37666107306453805	0.8337793097192616	13401088	182609.73957903578	6946574	60440.968436678166	22625	672	6369	316	15517	1623	641	90
2018020108590	11.219433280467367	137.66708111236557	0.0	0.9580703147861711	0.9580703147861711	0.9996237615484302	0.5096548750879263	0.35240861337387397	0.8620634884618003	14097102	184434.68230988714	6672859	60624.820757395784	22855	444	6476	208	15844	1279	672	64
2018020109000	11.32311105192961	137.886621443149	0.0	0.9784858558615066	0.9784858558615066	0.9995818261651368	0.5173365924316494	0.3888059025891725	0.9061424950208219	14355884	184948.63044046948	6700629	60917.88303089169	22905	394	6501	155	16717	399	679	79
2018020109010	11.426350937506273	138.10645597923784	0.0	0.9936215153606458	0.9936215153606458	0.9997490327303148	0.5503918104814965	0.404674548172306	0.9550663586538026	14989300	186353.06133752136	6632824	61707.652081057335	23241	61	6548	102	17048	63	675	79
2018020109020	11.529150831752318	138.3265852161039	0.0	0.9979086935608674	0.9979086935608674	0.9999372594947298	0.5551627232345209	0.4297207868733569	0.9848835101078778	15848208	187963.91573937368	6889322	62109.37405481981	23299	4	6578	43	17108	3	732	50
2018020109030	11.63150862865042	138.54700962767828	0.0	0.9990795556764219	0.9990795556764219	1.0	0.5359092247412407	0.45752270513894866	0.9934319298801894	15066516	186307.74247573258	6725964	62021.81130669917	23301	0	6635	16	17099	5	724	23
2018020109040	11.733422221684142	138.76772966613447	0.0	0.9986410486922707	0.9986410486922707	0.9999581843651342	0.5536203655470749	0.4446809956288361	0.9983013611759111	16264626	188257.50011934637	6342516	62774.20578760956	23302	0	6608	15	17115	17	741	33
2018020109050	11.83488950395704	138.98874576176627	0.0	0.9996654119615224	0.9996654119615224	1.0	0.5040201118836772	0.49559486331619595	0.9996149751998732	17199772	190031.2483164279	6286963	62712.8422865632	23299	0	6619	4	17125	3	761	9
2018020109060	11.935908368283638	139.21005832280252	0.0	0.9995190296946884	0.9995190296946884	1.0	0.4812454644412192	0.518346335268505	0.9995917997097242	15238244	187323.0575917754	6489950	61330.515583149914	23298	2	6589	5	17126	2	784	14
2018020109070	12.036476707285107	139.43166773522972	0.0	0.9991006253790968	0.9991006253790968	0.999895421555709	0.5756138519493487	0.42232106385875734	0.997934915808106	17503112	189502.53381902672	6124096	61876.02940454694	23299	1	6574	20	17119	3	776	19
2018020109080	12.136592413500257	139.6535743626383	0.0	0.9984514292889131	0.9984514292889131	0.9999581458616721	0.515783028708785	0.4821080321102998	0.9978910608190847	14948510	187177.44819916584	6492607	61145.303259332235	23222	58	6580	7	17094	4	816	5
2018020109090	12.23625337948663	139.87577854607568	0.0	0.9968184862692565	0.9968184862692565	0.9999790689886136	0.5200953137410643	0.4787019176216952	0.9987972313627596	15193348	187708.650408213	6126092	61471.117565888206	23180	100	6596	18	17084	11	764	23
