filename	altitude	azimuth	thin_sky_cover	opaque_sky_cover	fractional_sky_cover	fractional_sky_cover_hybrid	thin_sky_cover_TSI	opaque_sky_cover_TSI	fractional_sky_cover_TSI	energy	entropy	contrast	homogeneity	outside_c	outside_s	horizon_c	horizon_s	inner_c	inner_s	sun_c	sun_s
2017081612470	49.60727745929458	203.83117388628094	0.0	1.0	1.0	1.0	0.0783309926154125	0.9216010510578535	0.999932043673266	18105250	182270.43589948252	12515116	58021.21288851787	23338	0	6758	0	15477	0	2268	0
2017081612480	49.54437696785715	204.19323192569337	0.0	1.0	1.0	1.0	0.06977271182215776	0.9301819665072855	0.9999546783294432	19480604	182583.60718843067	12701489	57918.19548300986	23336	0	6767	0	15477	0	2282	0
2017081612490	49.480589765065574	204.55445257504175	0.0	1.0	1.0	1.0	0.07232982217691698	0.927647525201042	0.999977347377959	20424838	181745.18456004708	12761084	57158.56815503379	23351	0	6715	0	15504	0	2235	0
2017081612500	49.41592043981858	204.9148283509085	0.0	1.0	1.0	1.0	0.06088966439302953	0.9390876747716921	0.9999773391647216	19823778	181230.51327020625	13288825	56985.13445488399	23306	0	6759	0	15504	0	2232	0
2017081612510	49.35037361615424	205.2743519785236	0.0	1.0	1.0	1.0	0.08364114301253144	0.9163135353169117	0.9999546783294432	19652206	183769.74852120137	12174546	57956.328348844174	23302	0	6745	0	15538	0	2232	0
2017081612520	49.28395395201189	205.63301639137174	0.0	1.0	1.0	1.0	0.11082427536231884	0.8890851449275362	0.9999094202898551	18935794	184756.5616655243	11360472	58660.28689120263	23323	0	6730	0	15538	0	2241	0
2017081612530	49.216666137953595	205.99081473070666	0.0	1.0	1.0	1.0	0.13413529065289292	0.8657740927008292	0.999909383353722	20654754	184498.09810592822	11824372	58171.547612371025	23314	0	6726	0	15547	0	2223	0
2017081612540	49.148514895921345	206.34774034503207	0.0	1.0	1.0	1.0	0.1770790798965564	0.8228755501111564	0.9999546300077129	21636888	185203.95061735396	11574116	58845.848236369085	23312	0	6723	0	15547	0	2216	0
2017081612550	49.079504977985785	206.7037867894194	0.0	1.0	1.0	1.0	0.16340002722199537	0.836531917789574	0.9999319450115693	20809034	184512.5012954751	11660917	58350.50633918205	23351	0	6684	0	15547	0	2216	0
2017081612560	49.009641165118644	207.05894782486158	0.0	1.0	1.0	1.0	0.18146376844443438	0.818468233640835	0.9999320020852693	22031598	186153.3151544797	11123624	59298.16673020893	23317	0	6711	0	15583	0	2237	0
2017081612570	48.938928265969864	207.41321741731804	0.0	1.0	1.0	1.0	0.18123498209185293	0.8186743437457497	0.9999093258376026	21139832	184203.46410632596	11701600	58501.568060936734	23313	0	6717	0	15583	0	2245	0
2017081612580	48.867371115637596	207.76658973688032	0.0	1.0	1.0	1.0	0.18845700824499412	0.8114523874241188	0.999909395669113	20718306	183971.73824587686	11829318	58424.80516066934	23328	0	6689	0	15609	0	2251	0
2017081612590	48.79497457448092	208.11905915679594	0.0	1.0	1.0	1.0	0.23473922902494332	0.7651473922902494	0.9998866213151927	21057968	185164.84020348635	11486936	58711.09017768209	23328	0	6727	0	15559	0	2263	0
2017081613000	48.721743526907595	208.47062025237042	0.0	1.0	1.0	1.0	0.25134308058483507	0.7485662473081718	0.9999093278930069	19808156	185820.68110604608	10827319	58989.78486214464	23318	0	6736	0	15569	0	2271	0
2017081613010	48.64768288019594	208.82126779978867	0.0	1.0	1.0	1.0	0.24696815142241868	0.7528958404170917	0.9998639918395104	20562828	185955.61514288042	10432206	59176.50581395889	23294	0	6716	0	15598	0	2220	0
2017081613020	48.57279756332856	209.1709967749676	0.0	1.0	1.0	1.0	0.22529751785107108	0.7745211379349428	0.9998186557860139	20247000	185742.93489544612	10565749	59035.49475821517	23328	0	6685	0	15578	0	2210	0
2017081613030	48.49709252582756	209.5198023521723	0.0	1.0	1.0	1.0	0.21122067324039442	0.7886886546526125	0.9999093278930069	22035154	184894.7716979228	11577149	58811.60370568463	23328	0	6665	0	15605	0	2210	0
2017081613040	48.42057273659126	209.8676799027199	0.0	1.0	1.0	1.0	0.21082207921689478	0.7891779207831052	1.0	22129442	184480.10414994723	11604136	58459.887367492636	23338	0	6657	0	15605	0	2218	0
2017081613050	48.343243182786296	210.21462499352185	0.0	1.0	1.0	1.0	0.20554638195842476	0.7943631387274085	0.9999095206858333	20703882	182796.564183764	11763513	57586.18621234431	23337	0	6662	0	15618	0	2228	0
2017081613060	48.2651088687088	210.56063338555617	0.0	1.0	1.0	1.0	0.1982860252108461	0.8016232882923733	0.9999093135032193	20502142	181938.44556117526	11963066	56891.935321547266	23328	0	6655	0	15646	0	2231	0
2017081613070	48.18617481467167	210.90570103232753	0.0	1.0	1.0	1.0	0.2005755982596084	0.7994244017403916	1.0	19994912	182790.5035631433	10722995	57333.0977543084	23306	0	6677	0	15646	0	2231	0
2017081613080	48.10644605592623	211.2498240782703	0.0	1.0	1.0	1.0	0.12855945450014725	0.8713952382031126	0.9999546927032599	19189698	182143.25206405265	10569126	56801.68895720069	23304	0	6663	0	15673	0	2241	0
2017081613090	48.02592764156296	211.59299885704104	0.0	1.0	1.0	1.0	0.1441400580551524	0.8558599419448476	1.0	15791898	181378.5381143651	9569190	57943.251244866085	23344	0	6599	0	15673	0	2184	0
2017081613100	47.94462463346441	211.9352218897585	0.0	1.0	1.0	1.0	0.1472048985145708	0.8527951014854291	1.0	15328646	180142.93331960047	9685239	57481.959815533904	23337	0	6606	0	15664	0	2181	0
2017081613110	47.86254210523571	212.27648988328457	0.0	1.0	1.0	1.0	0.11072836876218102	0.889226306485972	0.9999546752481531	14943518	179385.39301795437	9948715	57258.481542245	23349	0	6607	0	15648	0	2184	0
2017081613120	47.779685141187464	212.61679972830692	0.0	1.0	1.0	1.0	0.10474442631865144	0.8952555736813486	1.0	14269758	178098.61389417187	9589671	56779.67540308993	23311	0	6653	0	15648	0	2200	0
2017081613130	47.696058835298615	212.9561484975237	0.0	1.0	1.0	1.0	0.10215700061239764	0.897774955204246	0.9999319558166436	14167168	177902.31396577726	9649076	56504.88460360533	23312	0	6629	0	15678	0	2199	0
2017081613140	47.61166829021873	213.29453344368332	0.0	1.0	1.0	1.0	0.11279457461044705	0.8872054253895529	1.0	13928568	177055.67194208037	9743004	55694.540169208405	23304	0	6637	0	15678	0	2199	0
2017081613150	47.52651861628378	213.6319519975904	0.0	1.0	1.0	1.0	0.1035061079255717	0.8964938920744283	1.0	13871090	176872.58221120664	9360702	55927.78042214332	23315	0	6631	0	15692	0	2211	0
2017081613160	47.44061493054085	213.96840176610235	0.0	1.0	1.0	1.0	0.1070991154456793	0.8928555227942844	0.9999546382399637	13475272	176832.67300173786	8988471	55602.87111045884	23350	0	6578	0	15723	0	2212	0
2017081613170	47.35396235577353	214.30388053014772	0.0	1.0	1.0	1.0	0.07970899530856923	0.9202910046914308	1.0	13163936	176747.94306927908	9275438	55462.49260587507	23350	0	6578	0	15723	0	2220	0
2017081613180	47.266566019591345	214.6383862425173	0.0	1.0	1.0	1.0	0.07819926666968449	0.9218007333303155	1.0	12571180	176498.74768195083	10029231	55335.81149173908	23312	0	6592	0	15727	0	2212	0
2017081613190	47.1784310534882	214.97191702581412	0.0	1.0	1.0	1.0	0.07074755984328646	0.9292524401567136	1.0	13026416	177326.73218489558	10870836	55528.05022837273	23325	0	6586	0	15727	0	2227	0
2017081613200	47.08956259192955	215.30447117032006	0.0	1.0	1.0	1.0	0.05707482993197279	0.9429251700680272	1.0	13605026	178531.18078480545	10677160	56620.18162623948	23320	0	6587	0	15744	0	2224	0
2017081613210	46.999965771479516	215.63604713174456	0.0	1.0	1.0	1.0	0.03434751065566337	0.9656524893443367	1.0	13346238	177289.795271858	10719621	56098.392954505376	23324	0	6599	0	15734	0	2240	0
2017081613220	46.90964572990881	215.96664352908564	0.0	1.0	1.0	1.0	0.02573229346150358	0.9742677065384964	1.0	14042444	176240.65663889956	10944604	56074.63338814383	23357	0	6540	0	15734	0	2174	0
